=======================================
KET QUA TEST CASE CHO CHUC NANG FN1
=======================================
TestCase | A | B | C | D | Expected | Actual | PASS/FAIL
1 |  | 1 | 2 | 3 | normalized | {"a":null,"b":1,"c":2,"d":3,"errors":["a empty"]} | PASS
2 |  | 1 | 2 | 3 | normalized | {"a":null,"b":1,"c":2,"d":3,"errors":["a empty"]} | PASS
3 |  | 1 | 2 | 3 | normalized | {"a":null,"b":1,"c":2,"d":3,"errors":["a empty"]} | PASS
4 |  | 1 | 2 | 3 | normalized | {"a":null,"b":1,"c":2,"d":3,"errors":["a empty"]} | PASS
5 |  | 1 | 2 | 3 | normalized | {"a":null,"b":1,"c":2,"d":3,"errors":["a empty"]} | PASS
6 |  | 1 | 2 | 3 | normalized | {"a":null,"b":1,"c":2,"d":3,"errors":["a empty"]} | PASS
7 |  | 1 | 2 | 3 | normalized | {"a":null,"b":1,"c":2,"d":3,"errors":["a empty"]} | PASS
8 |  | 1 | 2 | 3 | normalized | {"a":null,"b":1,"c":2,"d":3,"errors":["a empty"]} | PASS
9 |  | 1 | 2 | 3 | normalized | {"a":null,"b":1,"c":2,"d":3,"errors":["a empty"]} | PASS
10 |  | 1 | 2 | 3 | normalized | {"a":null,"b":1,"c":2,"d":3,"errors":["a empty"]} | PASS
11 | 1e3 | 2 | 3 | -4 | normalized | {"a":1000,"b":2,"c":3,"d":-4,"errors":[]} | PASS
12 | 1e3 | 2 | 3 | -4 | normalized | {"a":1000,"b":2,"c":3,"d":-4,"errors":[]} | PASS
13 | 1e3 | 2 | 3 | -4 | normalized | {"a":1000,"b":2,"c":3,"d":-4,"errors":[]} | PASS
14 | 1e3 | 2 | 3 | -4 | normalized | {"a":1000,"b":2,"c":3,"d":-4,"errors":[]} | PASS
15 | 1e3 | 2 | 3 | -4 | normalized | {"a":1000,"b":2,"c":3,"d":-4,"errors":[]} | PASS
16 | 1e3 | 2 | 3 | -4 | normalized | {"a":1000,"b":2,"c":3,"d":-4,"errors":[]} | PASS
17 | 1e3 | 2 | 3 | -4 | normalized | {"a":1000,"b":2,"c":3,"d":-4,"errors":[]} | PASS
18 | 1e3 | 2 | 3 | -4 | normalized | {"a":1000,"b":2,"c":3,"d":-4,"errors":[]} | PASS
19 | 1e3 | 2 | 3 | -4 | normalized | {"a":1000,"b":2,"c":3,"d":-4,"errors":[]} | PASS
20 | 1e3 | 2 | 3 | -4 | normalized | {"a":1000,"b":2,"c":3,"d":-4,"errors":[]} | PASS
21 | abc | 2 | 3 | 4 | normalized | {"a":null,"b":2,"c":3,"d":4,"errors":["a NaN"]} | PASS
22 | abc | 2 | 3 | 4 | normalized | {"a":null,"b":2,"c":3,"d":4,"errors":["a NaN"]} | PASS
23 | abc | 2 | 3 | 4 | normalized | {"a":null,"b":2,"c":3,"d":4,"errors":["a NaN"]} | PASS
24 | abc | 2 | 3 | 4 | normalized | {"a":null,"b":2,"c":3,"d":4,"errors":["a NaN"]} | PASS
25 | abc | 2 | 3 | 4 | normalized | {"a":null,"b":2,"c":3,"d":4,"errors":["a NaN"]} | PASS
26 | abc | 2 | 3 | 4 | normalized | {"a":null,"b":2,"c":3,"d":4,"errors":["a NaN"]} | PASS
27 | abc | 2 | 3 | 4 | normalized | {"a":null,"b":2,"c":3,"d":4,"errors":["a NaN"]} | PASS
28 | abc | 2 | 3 | 4 | normalized | {"a":null,"b":2,"c":3,"d":4,"errors":["a NaN"]} | PASS
29 | abc | 2 | 3 | 4 | normalized | {"a":null,"b":2,"c":3,"d":4,"errors":["a NaN"]} | PASS
30 | abc | 2 | 3 | 4 | normalized | {"a":null,"b":2,"c":3,"d":4,"errors":["a NaN"]} | PASS
31 | 1 |  | 3 | 4 | normalized | {"a":1,"b":null,"c":3,"d":4,"errors":["b empty"]} | PASS
32 | 1 |  | 3 | 4 | normalized | {"a":1,"b":null,"c":3,"d":4,"errors":["b empty"]} | PASS
33 | 1 |  | 3 | 4 | normalized | {"a":1,"b":null,"c":3,"d":4,"errors":["b empty"]} | PASS
34 | 1 |  | 3 | 4 | normalized | {"a":1,"b":null,"c":3,"d":4,"errors":["b empty"]} | PASS
35 | 1 |  | 3 | 4 | normalized | {"a":1,"b":null,"c":3,"d":4,"errors":["b empty"]} | PASS
36 | 1 |  | 3 | 4 | normalized | {"a":1,"b":null,"c":3,"d":4,"errors":["b empty"]} | PASS
37 | 1 |  | 3 | 4 | normalized | {"a":1,"b":null,"c":3,"d":4,"errors":["b empty"]} | PASS
38 | 1 |  | 3 | 4 | normalized | {"a":1,"b":null,"c":3,"d":4,"errors":["b empty"]} | PASS
39 | 1 |  | 3 | 4 | normalized | {"a":1,"b":null,"c":3,"d":4,"errors":["b empty"]} | PASS
40 | 1 |  | 3 | 4 | normalized | {"a":1,"b":null,"c":3,"d":4,"errors":["b empty"]} | PASS
41 | 0 | 0 | 0 | 0 | normalized | {"a":0,"b":0,"c":0,"d":0,"errors":[]} | PASS
42 | 0 | 0 | 0 | 0 | normalized | {"a":0,"b":0,"c":0,"d":0,"errors":[]} | PASS
43 | 0 | 0 | 0 | 0 | normalized | {"a":0,"b":0,"c":0,"d":0,"errors":[]} | PASS
44 | 0 | 0 | 0 | 0 | normalized | {"a":0,"b":0,"c":0,"d":0,"errors":[]} | PASS
45 | 0 | 0 | 0 | 0 | normalized | {"a":0,"b":0,"c":0,"d":0,"errors":[]} | PASS
46 | 0 | 0 | 0 | 0 | normalized | {"a":0,"b":0,"c":0,"d":0,"errors":[]} | PASS
47 | 0 | 0 | 0 | 0 | normalized | {"a":0,"b":0,"c":0,"d":0,"errors":[]} | PASS
48 | 0 | 0 | 0 | 0 | normalized | {"a":0,"b":0,"c":0,"d":0,"errors":[]} | PASS
49 | 0 | 0 | 0 | 0 | normalized | {"a":0,"b":0,"c":0,"d":0,"errors":[]} | PASS
